KSA Air,8785,Yemen,Turkey,1000,1400,Ahmed,nor,20231120,2541
XYZ Airlines,Egypt,Greece,1200,1600,Sarah,alı
Air One,5432,Italy,Spain,0900,1200,John,vip,20231205,7890
Blue Skies,9876,Canada,USA,0800,1100,Emily,nor,20231115,1234
Global Wings,3456,Japan,Australia,1500,1800,Masaki,nor,20231030,5678
Swift Airways,6543,Germany,France,1100,1400,Sophie,vip,20231201,4321
Sunset Airlines,2109,Brazil,Argentina,1300,1600,Lucas,nor,20231125,6789
Majestic Flights,8765,South Africa,Kenya,0700,1000,Aisha,nor,20231110,3456
Silver Arrow,4321,Mexico,USA,1600,1900,Carlos,vip,20231210,9012
Sky Express,7890,Greece,Italy,1000,1300,Olivia,nor,20231105,2109
